State,Year,# of CoCs,Overall Homeless,Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Homeless Unaccompanied Youth (Under 25),Sheltered Total Homeless Unaccompanied Youth (Under 25),Unsheltered Homeless Unaccompanied Youth (Under 25),Homeless Unaccompanied Youth Under 18,Sheltered Total Homeless Unaccompanied Youth Under 18,"Unsheltered Homeless Unaccompanied Youth Under 18, 2016","Homeless Unaccompanied Youth Age 18-24, 2016","Sheltered Total Homeless Unaccompanied Youth Age 18-24, 2016","Unsheltered Homeless Unaccompanied Youth Age 18-24, 2016"
AK,2016,2,"1,940",168,112,56,173,137,36,19,19,0,154,118,36
AL,2016,8,"4,111",373,321,52,254,173,81,28,28,0,226,145,81
AR,2016,7,"2,463",222,159,63,201,117,84,49,49,0,152,68,84
AZ,2016,3,"9,707","1,036",663,373,589,431,158,100,92,8,489,339,150
CA,2016,43,"118,142","9,612","4,012","5,600","11,222","2,531","8,691",847,213,634,"10,375","2,318","8,057"
CO,2016,3,"10,550","1,181",906,275,653,383,270,39,26,13,614,357,257
CT,2016,2,"3,902",216,173,43,119,97,22,8,8,0,111,89,22
DC,2016,1,"8,350",350,322,28,211,178,33,10,10,0,201,168,33
DE,2016,1,"1,070",107,103,4,51,46,5,0,0,0,51,46,5
FL,2016,27,"33,559","2,902","1,825","1,077","2,094","1,106",988,514,279,235,"1,580",827,753
GA,2016,9,"12,909","1,055",581,474,725,475,250,17,13,4,708,462,246
GU,2016,1,"1,085",21,6,15,7,4,3,1,1,0,6,3,3
HI,2016,2,"7,921",670,264,406,309,82,227,26,6,20,283,76,207
IA,2016,3,"3,064",170,154,16,160,150,10,18,18,0,142,132,10
ID,2016,2,"2,247",267,202,65,130,89,41,16,14,2,114,75,39
IL,2016,20,"11,590",949,713,236,719,648,71,28,25,3,691,623,68
IN,2016,3,"5,798",663,614,49,365,294,71,37,36,1,328,258,70
KS,2016,5,"2,255",169,138,31,106,80,26,19,18,1,87,62,25
KY,2016,3,"4,237",512,452,60,220,172,48,21,21,0,199,151,48
LA,2016,9,"3,994",400,363,37,408,276,132,63,57,6,345,219,126
MA,2016,16,"19,608",949,915,34,374,320,54,15,9,6,359,311,48
MD,2016,16,"7,689",555,436,119,279,185,94,15,5,10,264,180,84
ME,2016,2,"2,241",146,125,21,177,161,16,31,29,2,146,132,14
MI,2016,21,"9,316",822,758,64,725,624,101,102,98,4,623,526,97
MN,2016,10,"7,341",279,248,31,730,613,117,89,75,14,641,538,103
MO,2016,8,"6,194",575,494,81,638,489,149,201,168,33,437,321,116
MP,2016,0,.,.,.,.,.,.,.,.,.,.,.,.,.
MS,2016,3,"1,738",144,58,86,85,45,40,10,10,0,75,35,40
MT,2016,1,"1,418",165,92,73,100,52,48,13,4,9,87,48,39
NC,2016,12,"9,559",888,730,158,497,385,112,65,55,10,432,330,102
ND,2016,1,923,116,63,53,74,61,13,10,10,0,64,51,13
NE,2016,3,"2,754",219,211,8,238,238,0,40,40,0,198,198,0
NH,2016,3,"1,366",123,119,4,80,72,8,1,0,1,79,72,7
NJ,2016,15,"8,895",556,485,71,533,470,63,34,34,0,499,436,63
NM,2016,2,"2,263",214,150,64,188,163,25,69,68,1,119,95,24
NV,2016,3,"7,398",851,437,414,"1,672",309,"1,363",292,28,264,"1,380",281,"1,099"
NY,2016,26,"86,352","1,248","1,156",92,"2,889","2,641",248,188,165,23,"2,701","2,476",225
OH,2016,9,"10,404",930,845,85,622,557,65,46,44,2,576,513,63
OK,2016,8,"4,107",358,260,98,410,266,144,39,35,4,371,231,140
OR,2016,7,"13,238","1,341",603,738,"1,175",418,757,236,58,178,939,360,579
PA,2016,16,"15,339","1,136","1,088",48,868,736,132,63,45,18,805,691,114
PR,2016,2,"4,418",146,37,109,163,52,111,6,4,2,157,48,109
RI,2016,1,"1,160",89,89,0,64,63,1,0,0,0,64,63,1
SC,2016,4,"5,051",738,452,286,266,151,115,20,14,6,246,137,109
SD,2016,1,"1,072",120,109,11,77,69,8,9,9,0,68,60,8
TN,2016,10,"8,779",831,654,177,416,249,167,26,22,4,390,227,163
TX,2016,11,"23,122","1,768","1,285",483,"1,309",764,545,187,123,64,"1,122",641,481
UT,2016,3,"2,807",335,311,24,150,132,18,18,17,1,132,115,17
VA,2016,16,"6,268",515,439,76,322,278,44,12,12,0,310,266,44
VI,2016,1,341,32,2,30,8,0,8,0,0,0,8,0,8
VT,2016,2,"1,117",110,97,13,71,62,9,1,1,0,70,61,9
WA,2016,7,"20,827","1,484",999,485,"1,307",714,593,92,77,15,"1,215",637,578
WI,2016,4,"5,685",415,392,23,337,273,64,25,20,5,312,253,59
WV,2016,4,"1,387",143,126,17,95,83,12,6,5,1,89,78,11
WY,2016,1,857,87,56,31,31,24,7,3,1,2,28,23,5
Total,2016,402,"549,928","39,471","26,404","13,067","35,686","19,188","16,498","3,824","2,218","1,606","31,862","16,970","14,892"
