State,# of CoCs 2015,"Overall Homeless, 2015","Homeless Veterans, 2015","Sheltered Total Homeless Veterans, 2015","Unsheltered Homeless Veterans, 2015","Homeless Unaccompanied Youth (Under 25), 2015","Sheltered Total Homeless Unaccompanied Youth (Under 25), 2015","Unsheltered Homeless Unaccompanied Youth (Under 25), 2015","Homeless Unaccompanied Youth Under 18, 2015","Sheltered Total Homeless Unaccompanied Youth Under 18, 2015","Unsheltered Homeless Unaccompanied Youth Under 18, 2015","Homeless Unaccompanied Youth Age 18-24, 2015","Sheltered Total Homeless Unaccompanied Youth Age 18-24, 2015","Unsheltered Homeless Unaccompanied Youth Age 18-24, 2015",# of CoCs 2016,"Overall Homeless, 2016","Homeless Veterans, 2016","Sheltered Total Homeless Veterans, 2016","Unsheltered Homeless Veterans, 2016","Homeless Unaccompanied Youth (Under 25), 2016","Sheltered Total Homeless Unaccompanied Youth (Under 25), 2016","Unsheltered Homeless Unaccompanied Youth (Under 25), 2016","Homeless Unaccompanied Youth Under 18, 2016","Sheltered Total Homeless Unaccompanied Youth Under 18, 2016","Unsheltered Homeless Unaccompanied Youth Under 18, 2016","Homeless Unaccompanied Youth Age 18-24, 2016","Sheltered Total Homeless Unaccompanied Youth Age 18-24, 2016","Unsheltered Homeless Unaccompanied Youth Age 18-24, 2016",# of CoCs 2017,"Overall Homeless, 2017","Homeless Veterans, 2017","Sheltered Total Homeless Veterans, 2017","Unsheltered Homeless Veterans, 2017","Homeless Unaccompanied Youth (Under 25), 2017","Sheltered Total Homeless Unaccompanied Youth (Under 25), 2017","Unsheltered Homeless Unaccompanied Youth (Under 25), 2017","Homeless Unaccompanied Youth Under 18, 2017","Sheltered Total Homeless Unaccompanied Youth Under 18, 2017","Unsheltered Homeless Unaccompanied Youth Under 18, 2017","Homeless Unaccompanied Youth Age 18-24, 2017","Sheltered Total Homeless Unaccompanied Youth Age 18-24, 2017","Unsheltered Homeless Unaccompanied Youth Age 18-24, 2017",Number of CoCs,"Overall Homeless, 2018","Homeless Veterans, 2018","Sheltered Total Homeless Veterans, 2018","Unsheltered Homeless Veterans, 2018","Homeless Unaccompanied Youth (Under 25), 2018","Sheltered Total Homeless Unaccompanied Youth (Under 25), 2018","Unsheltered Homeless Unaccompanied Youth (Under 25), 2018","Homeless Unaccompanied Youth Under 18, 2018","Sheltered Total Homeless Unaccompanied Youth Under 18, 2018","Unsheltered Homeless Unaccompanied Youth Under 18, 2018","Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered Total Homeless Unaccompanied Youth Age 18-24, 2018","Unsheltered Homeless Unaccompanied Youth Age 18-24, 2018"
AK,2,"1,956",180,149,31,155,123,32,24,18,6,131,105,26,2,"1,940",168,112,56,173,137,36,19,19,0,154,118,36,2,"1,845",124,95,29,162,142,20,15,15,0,147,127,20,2,"2,016",132,110,22,163,150,13,8,8,0,155,142,13
AL,8,"3,970",474,399,75,228,168,60,32,27,5,196,141,55,8,"4,111",373,321,52,254,173,81,28,28,0,226,145,81,8,"3,793",269,202,67,294,182,112,36,34,2,258,148,110,8,"3,434",339,267,72,158,113,45,44,43,1,114,70,44
AR,7,"2,560",456,385,71,188,95,93,0,0,0,188,95,93,7,"2,463",222,159,63,201,117,84,49,49,0,152,68,84,6,"2,467",239,130,109,208,87,121,17,15,2,191,72,119,7,"2,712",251,150,101,240,122,118,43,40,3,197,82,115
AZ,3,"9,896","1,220",672,548,621,450,171,83,79,4,538,371,167,3,"9,707","1,036",663,373,589,431,158,100,92,8,489,339,150,3,"8,947",970,641,329,578,345,233,55,45,10,523,300,223,3,"9,865",893,540,353,638,397,241,48,48,0,590,349,241
CA,43,"115,738","11,311","4,309","7,002","10,416","2,464","7,952",892,260,632,"9,524","2,204","7,320",43,"118,142","9,612","4,012","5,600","11,222","2,531","8,691",847,213,634,"10,375","2,318","8,057",43,"131,532","11,436","3,815","7,621","12,962","2,709","10,253","1,495",198,"1,297","11,467","2,511","8,956",43,"129,972","10,836","3,622","7,214","12,396","2,476","9,920","1,426",206,"1,220","10,970","2,270","8,700"
CO,3,"9,953",950,644,306,566,360,206,82,74,8,484,286,198,3,"10,550","1,181",906,275,653,383,270,39,26,13,614,357,257,3,"10,940","1,078",743,335,763,428,335,45,23,22,718,405,313,3,"10,857","1,073",657,416,593,274,319,22,7,15,571,267,304
CT,3,"4,047",282,241,41,124,92,32,11,11,0,113,81,32,2,"3,902",216,173,43,119,97,22,8,8,0,111,89,22,2,"3,388",191,177,14,170,106,64,13,11,2,157,95,62,2,"3,976",190,177,13,187,118,69,7,5,2,180,113,67
DC,1,"7,298",408,366,42,200,183,17,7,7,0,193,176,17,1,"8,350",350,322,28,211,178,33,10,10,0,201,168,33,1,"7,473",285,250,35,228,194,34,5,5,0,223,189,34,1,"6,904",306,246,60,318,284,34,9,8,1,309,276,33
DE,1,953,79,74,5,57,56,1,3,3,0,54,53,1,1,"1,070",107,103,4,51,46,5,0,0,0,51,46,5,1,994,91,85,6,45,43,2,2,2,0,43,41,2,1,"1,082",70,67,3,53,45,8,1,1,0,52,44,8
FL,27,"35,900","3,926","2,372","1,554","2,371","1,207","1,164",593,321,272,"1,778",886,892,27,"33,559","2,902","1,825","1,077","2,094","1,106",988,514,279,235,"1,580",827,753,27,"32,190","2,817","1,821",996,"2,019","1,075",944,421,282,139,"1,598",793,805,27,"31,030","2,543","1,582",961,"1,892","1,020",872,441,319,122,"1,451",701,750
